editid,editor,oldrevisionid,newrevisionid,diffurl,edittime,editcomment,articleid,articletitle,editid_1,class
8912,67.173.121.4,228231058,327174591,http://en.wikipedia.org/w/index.php?diff=327174591&oldid=228231058,2009-11-21T21:28:25Z,null,8007613,Tom Whitecloud,8912,vandalism
8914,60.240.160.240,327622136,327622296,http://en.wikipedia.org/w/index.php?diff=327622296&oldid=327622136,2009-11-24T07:00:07Z,/* Venues */,3709127,Pacific Nations Cup,8914,vandalism
8934,172.129.134.242,323132669,328524022,http://en.wikipedia.org/w/index.php?diff=328524022&oldid=323132669,2009-11-29T04:53:34Z,infringement,3031338,John Baskin,8934,vandalism
8941,89.195.202.53,326753172,327202493,http://en.wikipedia.org/w/index.php?diff=327202493&oldid=326753172,2009-11-22T00:28:37Z,null,190047,Meaning of life (disambiguation),8941,vandalism
8997,204.184.190.229,328823572,329090532,http://en.wikipedia.org/w/index.php?diff=329090532&oldid=328823572,2009-12-01T19:24:23Z,mispless,123192,"Glendale, Missouri",8997,vandalism
9086,170.185.129.19,328822060,328822277,http://en.wikipedia.org/w/index.php?diff=328822277&oldid=328822060,2009-11-30T16:25:01Z,/* Geography */,115297,"Barbourville, Kentucky",9086,vandalism
9105,76.110.64.59,327593545,327593622,http://en.wikipedia.org/w/index.php?diff=327593622&oldid=327593545,2009-11-24T02:53:56Z,/* Raw (2009) */,4960685,Maryse Ouellet,9105,vandalism
9142,Elephantchoo,328607273,328611060,http://en.wikipedia.org/w/index.php?diff=328611060&oldid=328607273,2009-11-29T17:02:03Z,null,13138659,Gorgeous,9142,vandalism
9153,Osom12c,328114195,328114533,http://en.wikipedia.org/w/index.php?diff=328114533&oldid=328114195,2009-11-26T23:13:15Z,null,25008,Prisoner of war,9153,vandalism
9158,208.104.25.68,327307690,327373985,http://en.wikipedia.org/w/index.php?diff=327373985&oldid=327307690,2009-11-22T23:44:55Z,[[WP:AES|←]]Replaced content with one word.... sux,195149,Federal government of the United States,9158,vandalism
9171,67.80.233.205,327895138,329959083,http://en.wikipedia.org/w/index.php?diff=329959083&oldid=327895138,2009-12-05T23:41:05Z,/* Schools */,3524064,Bergen County Technical Schools,9171,vandalism
9177,192.251.46.22,317935938,329567670,http://en.wikipedia.org/w/index.php?diff=329567670&oldid=317935938,2009-12-03T23:53:42Z,/* History */,127637,"Taylorsville, North Carolina",9177,vandalism
9182,86.46.226.156,326250909,328438372,http://en.wikipedia.org/w/index.php?diff=328438372&oldid=326250909,2009-11-28T20:14:12Z,/* ECW */,20832437,Gabe Tuft,9182,vandalism
9193,77.75.97.146,328211956,329714003,http://en.wikipedia.org/w/index.php?diff=329714003&oldid=328211956,2009-12-04T18:59:23Z,/* History */,182093,Athlone,9193,vandalism
9214,76.14.42.165,326867173,326867271,http://en.wikipedia.org/w/index.php?diff=326867271&oldid=326867173,2009-11-20T03:55:47Z,/* Anatomy and morphology */,19817681,Tardigrade,9214,vandalism
9226,24.34.69.25,326567442,327888504,http://en.wikipedia.org/w/index.php?diff=327888504&oldid=326567442,2009-11-25T17:08:34Z,Juergen appeared at the premiere of Arthur Und Die Minimoys 2,22220999,Jürgen Vogel,9226,vandalism
9325,69.116.38.169,328449819,328450170,http://en.wikipedia.org/w/index.php?diff=328450170&oldid=328449819,2009-11-28T21:21:12Z,/* Notable alumni */,24932237,Garfield High School (New Jersey),9325,vandalism
9343,203.0.237.32,326981184,328302706,http://en.wikipedia.org/w/index.php?diff=328302706&oldid=326981184,2009-11-28T01:37:49Z,null,996303,Hypernatremia,9343,vandalism
9356,24.48.161.95,327226041,327477343,http://en.wikipedia.org/w/index.php?diff=327477343&oldid=327226041,2009-11-23T14:30:48Z,/* Residence life */,22291042,Texas State University–San Marcos,9356,vandalism
9357,68.109.140.124,328437998,328534904,http://en.wikipedia.org/w/index.php?diff=328534904&oldid=328437998,2009-11-29T06:17:13Z,/* Career */,171255,Yellowman,9357,vandalism
9360,24.222.131.221,326973271,326973347,http://en.wikipedia.org/w/index.php?diff=326973347&oldid=326973271,2009-11-20T18:57:44Z,null,64308,Conglomerate (company),9360,vandalism
9409,75.139.136.243,327500659,327500697,http://en.wikipedia.org/w/index.php?diff=327500697&oldid=327500659,2009-11-23T17:15:57Z,/* Zone 2 */,16643199,Zones of Atlanta,9409,vandalism
9414,82.194.194.64,327977659,328077051,http://en.wikipedia.org/w/index.php?diff=328077051&oldid=327977659,2009-11-26T18:26:25Z,/* Theodore Seville */,355901,Alvin and the Chipmunks,9414,vandalism
9430,67.230.192.5,327461538,327495610,http://en.wikipedia.org/w/index.php?diff=327495610&oldid=327461538,2009-11-23T16:42:05Z,null,4319287,Immigration to Canada,9430,vandalism
9442,75.57.243.142,327191045,327623923,http://en.wikipedia.org/w/index.php?diff=327623923&oldid=327191045,2009-11-24T07:16:22Z,/* Other notable incidents */,7605695,Purple drank,9442,vandalism
9452,24.184.65.19,328662087,328662203,http://en.wikipedia.org/w/index.php?diff=328662203&oldid=328662087,2009-11-29T21:27:37Z,null,1823963,Le petit Nicolas,9452,vandalism
9455,149.6.4.174,326917646,326952397,http://en.wikipedia.org/w/index.php?diff=326952397&oldid=326917646,2009-11-20T16:47:52Z,/* Promotions */,735638,Gillette (brand),9455,vandalism
9478,199.185.67.14,329168080,329705167,http://en.wikipedia.org/w/index.php?diff=329705167&oldid=329168080,2009-12-04T18:12:19Z,null,172707,Best,9478,vandalism
9499,98.22.241.115,328976516,329270087,http://en.wikipedia.org/w/index.php?diff=329270087&oldid=328976516,2009-12-02T17:06:12Z,/* The Twelve Gifts */,5275752,The Ultimate Gift,9499,vandalism
9502,89.194.198.159,328824107,328824647,http://en.wikipedia.org/w/index.php?diff=328824647&oldid=328824107,2009-11-30T16:38:09Z,/* Nantes */,8147488,Jean-Claude Darcheville,9502,vandalism
9572,173.35.80.148,325833348,326848445,http://en.wikipedia.org/w/index.php?diff=326848445&oldid=325833348,2009-11-20T01:47:07Z,/* Global Citizenship */,3110352,A. Y. Jackson Secondary School (Ottawa),9572,vandalism
9599,72.94.98.202,329882814,329940174,http://en.wikipedia.org/w/index.php?diff=329940174&oldid=329882814,2009-12-05T21:46:33Z,/* Indian */,2844,Atomic theory,9599,vandalism
9601,165.161.9.27,327323200,327527851,http://en.wikipedia.org/w/index.php?diff=327527851&oldid=327323200,2009-11-23T20:05:04Z,/* Adulthood */,21814770,Langston Hughes,9601,vandalism
9621,71.201.230.52,330102996,330103221,http://en.wikipedia.org/w/index.php?diff=330103221&oldid=330102996,2009-12-06T19:21:57Z,/* Native environment */,198290,Chinchilla,9621,vandalism
9638,82.38.91.79,270599716,329918867,http://en.wikipedia.org/w/index.php?diff=329918867&oldid=270599716,2009-12-05T19:40:18Z,/* Publication */,10043782,The Politician,9638,vandalism
9644,24.4.34.224,328269132,328461545,http://en.wikipedia.org/w/index.php?diff=328461545&oldid=328269132,2009-11-28T22:25:48Z,null,36517,The Who,9644,vandalism
9647,81.111.94.125,327877441,327901525,http://en.wikipedia.org/w/index.php?diff=327901525&oldid=327877441,2009-11-25T18:36:18Z,null,3415,Bulgaria,9647,vandalism
9674,24.76.41.152,329259391,329259684,http://en.wikipedia.org/w/index.php?diff=329259684&oldid=329259391,2009-12-02T16:01:57Z,/* Future */,4112226,Lascelles Brown,9674,vandalism
9705,24.83.78.81,327542608,327543434,http://en.wikipedia.org/w/index.php?diff=327543434&oldid=327542608,2009-11-23T21:36:43Z,null,2995553,The Office (U.S. TV series),9705,vandalism
9734,94.79.229.184,329594811,329752474,http://en.wikipedia.org/w/index.php?diff=329752474&oldid=329594811,2009-12-04T22:25:34Z,/* Creation and conception */,2297349,Ichigo Kurosaki,9734,vandalism
9742,74.5.200.10,329251428,329251658,http://en.wikipedia.org/w/index.php?diff=329251658&oldid=329251428,2009-12-02T15:05:10Z,null,34080,List of tallest buildings and structures in the world,9742,vandalism
9755,Monkeysbob,328280968,328288639,http://en.wikipedia.org/w/index.php?diff=328288639&oldid=328280968,2009-11-27T23:55:51Z,null,6597215,Battlefield: Bad Company,9755,vandalism
9767,204.81.231.216,329242430,329243217,http://en.wikipedia.org/w/index.php?diff=329243217&oldid=329242430,2009-12-02T13:44:30Z,/* Unique Courses */,5964851,Harbour View High School,9767,vandalism
9778,212.219.116.229,326782907,326899968,http://en.wikipedia.org/w/index.php?diff=326899968&oldid=326782907,2009-11-20T09:31:53Z,/* Bait animals */,305835,Dog fighting,9778,vandalism
9814,99.29.243.119,327212567,327213835,http://en.wikipedia.org/w/index.php?diff=327213835&oldid=327212567,2009-11-22T01:47:54Z,/* Acting career and television appearances */,2142112,Kathy Hilton,9814,vandalism
9826,65.66.147.1,329218090,329715803,http://en.wikipedia.org/w/index.php?diff=329715803&oldid=329218090,2009-12-04T19:08:31Z,null,69719,Band-Aid,9826,vandalism
9836,64.139.239.236,328456264,328488363,http://en.wikipedia.org/w/index.php?diff=328488363&oldid=328456264,2009-11-29T01:02:40Z,/* Football */,8612528,Carolina–Clemson rivalry,9836,vandalism
9839,204.82.221.213,327660343,329713908,http://en.wikipedia.org/w/index.php?diff=329713908&oldid=327660343,2009-12-04T18:58:51Z,/* History of trade */,29678,Trade,9839,vandalism
9850,Outlaw277,327644027,327644138,http://en.wikipedia.org/w/index.php?diff=327644138&oldid=327644027,2009-11-24T10:46:35Z,null,520957,Frank De Winne,9850,vandalism
9855,Xieditx,328819981,329109035,http://en.wikipedia.org/w/index.php?diff=329109035&oldid=328819981,2009-12-01T21:00:51Z,/* Nomenclature */,9491,Eskimo,9855,vandalism
9866,203.112.90.136,327047390,327176002,http://en.wikipedia.org/w/index.php?diff=327176002&oldid=327047390,2009-11-21T21:37:37Z,/* Personal life */,23532220,Krista Ranillo,9866,vandalism
9878,80.2.120.204,323322767,327277520,http://en.wikipedia.org/w/index.php?diff=327277520&oldid=323322767,2009-11-22T12:22:21Z,null,51970,Weaving,9878,vandalism
9886,81.158.174.58,328872023,328872094,http://en.wikipedia.org/w/index.php?diff=328872094&oldid=328872023,2009-11-30T20:33:00Z,/* Individual */,2420223,Aaron Lennon,9886,vandalism
9964,137.164.225.63,329277872,329280812,http://en.wikipedia.org/w/index.php?diff=329280812&oldid=329277872,2009-12-02T18:08:00Z,null,148456,Lucky Luciano,9964,vandalism
9973,202.68.82.210,326611461,326796926,http://en.wikipedia.org/w/index.php?diff=326796926&oldid=326611461,2009-11-19T20:46:55Z,[[WP:AES|←]]Replaced content with minna sucks!!!!!,20913753,Drama,9973,vandalism
9983,67.176.88.83,327526574,327578993,http://en.wikipedia.org/w/index.php?diff=327578993&oldid=327526574,2009-11-24T01:17:49Z,/* Main characters */,3598678,The Vampire Diaries (novel series),9983,vandalism
10010,Beeflicker,327490557,327805760,http://en.wikipedia.org/w/index.php?diff=327805760&oldid=327490557,2009-11-25T04:39:36Z,null,181566,"Rugby, Warwickshire",10010,vandalism
10044,Jackgeddes1234,327249884,328209409,http://en.wikipedia.org/w/index.php?diff=328209409&oldid=327249884,2009-11-27T14:03:28Z,null,903641,Owned,10044,vandalism
10065,75.89.73.94,328502435,328506992,http://en.wikipedia.org/w/index.php?diff=328506992&oldid=328502435,2009-11-29T03:01:32Z,/* Development */,15627191,The Suite Life on Deck,10065,vandalism
10071,193.126.154.226,327164578,327164970,http://en.wikipedia.org/w/index.php?diff=327164970&oldid=327164578,2009-11-21T20:27:27Z,Formatting.,1231268,Matthew Bellamy,10071,vandalism
10074,209.80.230.59,327473410,327473467,http://en.wikipedia.org/w/index.php?diff=327473467&oldid=327473410,2009-11-23T13:58:51Z,/* Giants of Jazz */,155095,List of jazz musicians,10074,vandalism
10075,94.196.242.145,328320485,328419348,http://en.wikipedia.org/w/index.php?diff=328419348&oldid=328320485,2009-11-28T18:15:46Z,/* History */,11100,Kite,10075,vandalism
10093,128.8.227.15,327848495,327907876,http://en.wikipedia.org/w/index.php?diff=327907876&oldid=327848495,2009-11-25T19:15:32Z,null,766900,John Boehner,10093,vandalism
10116,IAmTheCoinMan,324256665,327796847,http://en.wikipedia.org/w/index.php?diff=327796847&oldid=324256665,2009-11-25T03:29:54Z,null,3316233,Midriff,10116,vandalism
10126,190.92.8.185,319917598,327414595,http://en.wikipedia.org/w/index.php?diff=327414595&oldid=319917598,2009-11-23T04:30:46Z,null,23423038,César Ham,10126,vandalism
10136,194.83.198.199,326912488,326915200,http://en.wikipedia.org/w/index.php?diff=326915200&oldid=326912488,2009-11-20T12:01:18Z,/* History */,15532763,Gay pride,10136,vandalism
10190,167.206.146.198,326579011,327696566,http://en.wikipedia.org/w/index.php?diff=327696566&oldid=326579011,2009-11-24T17:27:45Z,null,60540,Leslie Groves,10190,vandalism
10195,Nuclearweso,328110871,328143856,http://en.wikipedia.org/w/index.php?diff=328143856&oldid=328110871,2009-11-27T03:06:45Z,null,6694761,Miles Austin,10195,vandalism
10207,Lisaaaa,329372010,329520856,http://en.wikipedia.org/w/index.php?diff=329520856&oldid=329372010,2009-12-03T20:11:38Z,/* Notable people with the given name */,10452805,Hayley,10207,vandalism
10211,Millsyy,329627923,329643041,http://en.wikipedia.org/w/index.php?diff=329643041&oldid=329627923,2009-12-04T10:31:58Z,/* Escape the Fate */,18440371,Craig Mabbitt,10211,vandalism
10226,76.184.116.115,329957054,329981641,http://en.wikipedia.org/w/index.php?diff=329981641&oldid=329957054,2009-12-06T01:57:44Z,null,5043324,Iraq War,10226,vandalism
10232,99.156.206.25,329398661,329915016,http://en.wikipedia.org/w/index.php?diff=329915016&oldid=329398661,2009-12-05T19:17:29Z,/* Classification */,30653,Tuberculosis,10232,vandalism
10245,209.217.122.179,326741426,326741495,http://en.wikipedia.org/w/index.php?diff=326741495&oldid=326741426,2009-11-19T15:13:22Z,null,3531662,Affordable housing,10245,vandalism
10267,76.30.100.132,327699883,328496545,http://en.wikipedia.org/w/index.php?diff=328496545&oldid=327699883,2009-11-29T01:55:10Z,/* References */,48774,Lance,10267,vandalism
10272,70.164.20.36,328738488,328827751,http://en.wikipedia.org/w/index.php?diff=328827751&oldid=328738488,2009-11-30T16:55:08Z,null,151501,Jelly bean,10272,vandalism
10280,71.62.251.233,314982681,329930854,http://en.wikipedia.org/w/index.php?diff=329930854&oldid=314982681,2009-12-05T20:50:30Z,/* References */,20731238,Ikki Twins,10280,vandalism
10306,207.35.96.98,326337832,327325580,http://en.wikipedia.org/w/index.php?diff=327325580&oldid=326337832,2009-11-22T18:42:52Z,null,625478,Gilbert Gottfried,10306,vandalism
10315,155.136.80.36,329040866,329041466,http://en.wikipedia.org/w/index.php?diff=329041466&oldid=329040866,2009-12-01T15:04:10Z,null,7705535,Keith Jardine,10315,vandalism
10330,76.15.215.214,328487442,330093738,http://en.wikipedia.org/w/index.php?diff=330093738&oldid=328487442,2009-12-06T18:16:23Z,/* Geographic setting and description */,390861,Arenal Volcano,10330,vandalism
10357,70.146.201.38,321869372,327975427,http://en.wikipedia.org/w/index.php?diff=327975427&oldid=321869372,2009-11-26T02:36:07Z,null,2685394,Quercus acutissima,10357,vandalism
10366,Watsup90,329740446,329740604,http://en.wikipedia.org/w/index.php?diff=329740604&oldid=329740446,2009-12-04T21:23:00Z,null,60094,Promiscuity,10366,vandalism
10375,76.202.197.245,327772953,327793979,http://en.wikipedia.org/w/index.php?diff=327793979&oldid=327772953,2009-11-25T03:08:42Z,/* Notable alumni */,2914200,Piedmont Hills High School,10375,vandalism
10382,Tni soprano,327443818,327641597,http://en.wikipedia.org/w/index.php?diff=327641597&oldid=327443818,2009-11-24T10:19:44Z,null,62092,Trotskyism,10382,vandalism
10388,192.138.116.230,327863559,327863824,http://en.wikipedia.org/w/index.php?diff=327863824&oldid=327863559,2009-11-25T14:14:13Z,/* International career */,501393,Wasim Akram,10388,vandalism
10393,68.149.65.64,327346419,327375590,http://en.wikipedia.org/w/index.php?diff=327375590&oldid=327346419,2009-11-22T23:55:08Z,/* Life and career */,44014,Henry Hudson,10393,vandalism
10401,173.14.183.218,326335914,327473360,http://en.wikipedia.org/w/index.php?diff=327473360&oldid=326335914,2009-11-23T13:57:52Z,/* Early career */,40298,Jean-Claude Killy,10401,vandalism
10428,77.101.184.131,327116496,329142033,http://en.wikipedia.org/w/index.php?diff=329142033&oldid=327116496,2009-12-02T00:00:08Z,/* Kashmir and India */,676299,Jamaat-e-Islami,10428,vandalism
10440,71.172.58.214,329130540,329132723,http://en.wikipedia.org/w/index.php?diff=329132723&oldid=329130540,2009-12-01T23:03:44Z,/* Career */,5638374,David Henrie,10440,vandalism
10484,69.225.142.13,328950913,329080348,http://en.wikipedia.org/w/index.php?diff=329080348&oldid=328950913,2009-12-01T18:33:19Z,/* Screws */,20616,Mechanical advantage,10484,vandalism
10502,208.91.185.12,326976812,326976990,http://en.wikipedia.org/w/index.php?diff=326976990&oldid=326976812,2009-11-20T19:20:35Z,/* Contributing factors of the fires */,8143396,Yellowstone fires of 1988,10502,vandalism
10524,108.1.37.12,327972130,327979907,http://en.wikipedia.org/w/index.php?diff=327979907&oldid=327972130,2009-11-26T03:16:14Z,/* Houston Texans */,2380535,Kris Brown,10524,vandalism
10555,24.191.91.96,328609781,329088393,http://en.wikipedia.org/w/index.php?diff=329088393&oldid=328609781,2009-12-01T19:13:16Z,/* CDMA */,1236201,Boost Mobile,10555,vandalism
10556,38.104.58.246,327931680,329535403,http://en.wikipedia.org/w/index.php?diff=329535403&oldid=327931680,2009-12-03T21:24:21Z,null,3393405,Esperanza Rising,10556,vandalism
10561,146.226.71.30,327022689,328879980,http://en.wikipedia.org/w/index.php?diff=328879980&oldid=327022689,2009-11-30T21:10:13Z,/* Demographics */,32135,United States Virgin Islands,10561,vandalism
10567,199.104.209.245,326198857,327700582,http://en.wikipedia.org/w/index.php?diff=327700582&oldid=326198857,2009-11-24T17:52:52Z,/* Facts */,10140947,South Mountain High School,10567,vandalism
10569,67.217.203.252,327994561,329812588,http://en.wikipedia.org/w/index.php?diff=329812588&oldid=327994561,2009-12-05T04:47:34Z,/* Trivia */,130591,"Gore, Oklahoma",10569,vandalism
10574,67.189.222.135,327964948,327975186,http://en.wikipedia.org/w/index.php?diff=327975186&oldid=327964948,2009-11-26T02:34:12Z,/* History */,149211,"Bethel, Connecticut",10574,vandalism
10595,204.81.170.66,327863446,327863531,http://en.wikipedia.org/w/index.php?diff=327863531&oldid=327863446,2009-11-25T14:11:57Z,/* Canaport LNG */,28866,"Saint John, New Brunswick",10595,vandalism
10634,189.216.201.101,328317853,328318247,http://en.wikipedia.org/w/index.php?diff=328318247&oldid=328317853,2009-11-28T03:52:07Z,/* Student life */,16253644,"Monterrey Institute of Technology and Higher Education, Mexico City",10634,vandalism
10652,193.45.196.201,326465099,328008515,http://en.wikipedia.org/w/index.php?diff=328008515&oldid=326465099,2009-11-26T08:01:26Z,null,6120585,Tax protester statutory arguments,10652,vandalism
10682,134.225.163.81,330089940,330091668,http://en.wikipedia.org/w/index.php?diff=330091668&oldid=330089940,2009-12-06T18:03:04Z,/* International career */,23469028,Séamus Coleman,10682,vandalism
10699,YourMa24,329551088,329559900,http://en.wikipedia.org/w/index.php?diff=329559900&oldid=329551088,2009-12-03T23:16:36Z,[[WP:AES|←]]Replaced content with A Donut Is A Donut Dumby,74803,Doughnut,10699,vandalism
10705,119.152.14.9,326731539,327444446,http://en.wikipedia.org/w/index.php?diff=327444446&oldid=326731539,2009-11-23T08:45:13Z,/* Milaad un Nabi */,1622957,Culture of Pakistan,10705,vandalism
10719,Titanskc,325719628,326975474,http://en.wikipedia.org/w/index.php?diff=326975474&oldid=325719628,2009-11-20T19:10:56Z,http://jobec.lifeboxx.net,361204,Recruit,10719,vandalism
10724,187.38.48.36,327272641,327274489,http://en.wikipedia.org/w/index.php?diff=327274489&oldid=327272641,2009-11-22T11:48:50Z,/* Season 1 */,4898252,Thumb Wrestling Federation,10724,vandalism
10727,174.153.95.188,327239425,327340025,http://en.wikipedia.org/w/index.php?diff=327340025&oldid=327239425,2009-11-22T20:14:27Z,null,1156262,Anil Dash,10727,vandalism
10730,92.26.252.140,327001954,327002169,http://en.wikipedia.org/w/index.php?diff=327002169&oldid=327001954,2009-11-20T21:56:23Z,/* Position on Turkey joining the European Union */,7742342,Herman Van Rompuy,10730,vandalism
10777,74.248.229.57,327096474,327752415,http://en.wikipedia.org/w/index.php?diff=327752415&oldid=327096474,2009-11-24T22:44:24Z,/* Popular Culture */,519482,John Dickinson (delegate),10777,vandalism
10784,204.81.230.227,327851885,327904633,http://en.wikipedia.org/w/index.php?diff=327904633&oldid=327851885,2009-11-25T18:56:19Z,/* Background */,358695,Dieppe Raid,10784,vandalism
10808,64.135.229.100,327657876,329096787,http://en.wikipedia.org/w/index.php?diff=329096787&oldid=327657876,2009-12-01T19:57:34Z,null,24270,Pittsburgh Pirates,10808,vandalism
10838,Ala1345,321903149,328644193,http://en.wikipedia.org/w/index.php?diff=328644193&oldid=321903149,2009-11-29T19:58:52Z,/* About The School */,7737753,Regent Secondary School,10838,vandalism
10852,65.75.20.183,327017872,329142468,http://en.wikipedia.org/w/index.php?diff=329142468&oldid=327017872,2009-12-02T00:02:44Z,null,1014518,Volatile organic compound,10852,vandalism
10862,71.172.77.190,329791874,329792105,http://en.wikipedia.org/w/index.php?diff=329792105&oldid=329791874,2009-12-05T02:14:44Z,null,241113,Dikembe Mutombo,10862,vandalism
10868,Marek69,327217015,327217954,http://en.wikipedia.org/w/index.php?diff=327217954&oldid=327217015,2009-11-22T02:21:25Z,Reverted edits by [[Special:Contributions/202.156.14.74|202.156.14.74]] to last revision by 132.178.202.110 ([[WP:HG|HG]]),5109121,Bloomability,10868,vandalism
10891,71.31.153.247,327789324,329546816,http://en.wikipedia.org/w/index.php?diff=329546816&oldid=327789324,2009-12-03T22:16:55Z,null,25791,List of Roman Emperors,10891,vandalism
10905,99.69.125.128,329186364,329186654,http://en.wikipedia.org/w/index.php?diff=329186654&oldid=329186364,2009-12-02T04:56:25Z,/* Writing system */,37299,Malayalam,10905,vandalism
10909,NewOrleans4Life,328657919,328659574,http://en.wikipedia.org/w/index.php?diff=328659574&oldid=328657919,2009-11-29T21:14:45Z,[[WP:AES|←]]Blanked the page,20116909,B.o.B.,10909,vandalism
10916,66.99.191.190,326790604,326792097,http://en.wikipedia.org/w/index.php?diff=326792097&oldid=326790604,2009-11-19T20:21:03Z,null,62345,Prune,10916,vandalism
10932,86.176.61.63,328365947,328463017,http://en.wikipedia.org/w/index.php?diff=328463017&oldid=328365947,2009-11-28T22:34:11Z,/* Izzy Charles */,16945249,List of Minor & Recurring Waterloo Road characters,10932,vandalism
10940,24.61.221.69,326085171,327119524,http://en.wikipedia.org/w/index.php?diff=327119524&oldid=326085171,2009-11-21T15:13:58Z,/* Habitat and anatomy */,2186,Armadillo,10940,vandalism
10955,41.178.69.182,327160620,327160717,http://en.wikipedia.org/w/index.php?diff=327160717&oldid=327160620,2009-11-21T20:00:51Z,/* Ottoman rule */,14113,History of Algeria,10955,vandalism
10975,81.151.239.217,329540265,329540929,http://en.wikipedia.org/w/index.php?diff=329540929&oldid=329540265,2009-12-03T21:49:13Z,/* Notes */,4652584,The Little Orphan,10975,vandalism
11003,82.39.176.31,325856261,327877136,http://en.wikipedia.org/w/index.php?diff=327877136&oldid=325856261,2009-11-25T15:50:40Z,null,5438551,Joseph Swan School,11003,vandalism
11025,71.146.28.209,329859100,329911197,http://en.wikipedia.org/w/index.php?diff=329911197&oldid=329859100,2009-12-05T18:52:29Z,/* Spain */,222303,Gringo,11025,vandalism
11035,Jojo1996,327893749,327893911,http://en.wikipedia.org/w/index.php?diff=327893911&oldid=327893749,2009-11-25T17:44:22Z,null,660333,Bleach (manga),11035,vandalism
11066,119.95.164.21,327375059,328311949,http://en.wikipedia.org/w/index.php?diff=328311949&oldid=327375059,2009-11-28T02:57:17Z,/* Eruption mechanisms */,8921015,Types of volcanic eruption,11066,vandalism
11099,24.188.88.173,328419810,328427234,http://en.wikipedia.org/w/index.php?diff=328427234&oldid=328419810,2009-11-28T19:05:58Z,null,69719,Band-Aid,11099,vandalism
11109,148.100.227.50,328807545,328809052,http://en.wikipedia.org/w/index.php?diff=328809052&oldid=328807545,2009-11-30T14:59:32Z,/* Notable inhabitants */,124546,"Keene, New Hampshire",11109,vandalism
11114,24.47.57.208,328880163,328882804,http://en.wikipedia.org/w/index.php?diff=328882804&oldid=328880163,2009-11-30T21:23:56Z,null,1678965,Wicked (musical),11114,vandalism
11150,68.19.79.24,327242043,328664566,http://en.wikipedia.org/w/index.php?diff=328664566&oldid=327242043,2009-11-29T21:39:21Z,null,543935,East–West Schism,11150,vandalism
11157,122.56.125.206,325830730,327982196,http://en.wikipedia.org/w/index.php?diff=327982196&oldid=325830730,2009-11-26T03:36:37Z,null,335213,Tamagotchi,11157,vandalism
11170,67.171.213.160,328741786,329604277,http://en.wikipedia.org/w/index.php?diff=329604277&oldid=328741786,2009-12-04T03:56:51Z,null,8734701,Sager orphans,11170,vandalism
11179,99.231.223.90,325133933,327970939,http://en.wikipedia.org/w/index.php?diff=327970939&oldid=325133933,2009-11-26T02:00:12Z,null,2220069,Riverdale Collegiate Institute,11179,vandalism
11186,68.74.163.181,327326548,327364184,http://en.wikipedia.org/w/index.php?diff=327364184&oldid=327326548,2009-11-22T22:43:32Z,/* History */,1303197,Cinderella (musical),11186,vandalism
11219,72.198.3.76,306340990,326798734,http://en.wikipedia.org/w/index.php?diff=326798734&oldid=306340990,2009-11-19T20:57:03Z,/* See also */,999909,Vital statistics (government records),11219,vandalism
11239,Phatone43,327765141,327765259,http://en.wikipedia.org/w/index.php?diff=327765259&oldid=327765141,2009-11-24T23:56:25Z,/* Awards */,12769470,Adam Bennett,11239,vandalism
11246,86.46.140.117,327298563,327378564,http://en.wikipedia.org/w/index.php?diff=327378564&oldid=327298563,2009-11-23T00:13:44Z,null,4561898,Back to Basics (Christina Aguilera album),11246,vandalism
11264,24.167.212.36,328949596,329570155,http://en.wikipedia.org/w/index.php?diff=329570155&oldid=328949596,2009-12-04T00:06:27Z,/* Notes */,56125,Sioux,11264,vandalism
11302,71.52.0.160,325587948,329590387,http://en.wikipedia.org/w/index.php?diff=329590387&oldid=325587948,2009-12-04T02:12:11Z,/* Background and Preparations */,18563960,"Wesley Clark presidential campaign, 2004",11302,vandalism
11312,173.87.177.51,327372359,327372513,http://en.wikipedia.org/w/index.php?diff=327372513&oldid=327372359,2009-11-22T23:35:33Z,/* Studio albums */,580760,The Distillers,11312,vandalism
11337,64.108.113.61,329585651,329585992,http://en.wikipedia.org/w/index.php?diff=329585992&oldid=329585651,2009-12-04T01:45:02Z,I hate Jewish peole,32917,Walt Disney,11337,vandalism
11341,Lazybone93906,326474510,326801213,http://en.wikipedia.org/w/index.php?diff=326801213&oldid=326474510,2009-11-19T21:11:18Z,/* Ultimate Fighting Championship */,6645711,Josh Koscheck,11341,vandalism
11352,68.82.140.100,326857598,326860032,http://en.wikipedia.org/w/index.php?diff=326860032&oldid=326857598,2009-11-20T03:06:20Z,/* Name */,159765,Lake Titicaca,11352,vandalism
11544,SingingZombie,327607829,327608588,http://en.wikipedia.org/w/index.php?diff=327608588&oldid=327607829,2009-11-24T04:49:24Z,"/* Synopsis */ Someone edit-warred me, replacing my entry with the previous entry which I had replaced.  Accordingly, I have un-done his act of edit-war.  I will continue doing so until Judgement Day.",38092,Don Giovanni,11544,vandalism
11553,24.164.173.223,326452018,329150278,http://en.wikipedia.org/w/index.php?diff=329150278&oldid=326452018,2009-12-02T00:52:18Z,null,209455,Thylakoid,11553,vandalism
11554,24.185.68.230,326765843,326810990,http://en.wikipedia.org/w/index.php?diff=326810990&oldid=326765843,2009-11-19T22:05:20Z,/* Legacy and depictions */,14358,Hammurabi,11554,vandalism
